sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
1190;PAÑOXX-XX-X-XXXNID.;SIN DEFINIR;77;No Asignada;0.20000000000000001;0;3
1191;TRAPXX-XX-X-XXXNID.;SIN DEFINIR;77;No Asignada;0.20000000000000001;0.44;3
1192;TRAPXX-XX-X-XXXNID.;SIN DEFINIR;77;No Asignada;0.20000000000000001;0.23000000000000001;3
1193;PLOTXX-XX-X-XXXREZA;SIN DEFINIR;95;Unidades;5;5;3
1194;PLOTXX-XX-X-XXXTANA;SIN DEFINIR;95;Unidades;5;5;3
1195;PLOTXX-XX-X-XXXZADO;SIN DEFINIR;95;Unidades;5;5;3
1196;PLOTXX-XX-X-XXXZADO;SIN DEFINIR;95;Unidades;5;5;3
1197;PLOTXX-XX-X-XXXRENA;SIN DEFINIR;95;Unidades;5;5;3
1198;PLOTXX-XX-X-XXX5x55;SIN DEFINIR;95;Unidades;0;8.9999999999999997E-2;3
1199;PLOTXX-XX-X-XXX 450;SIN DEFINIR;95;Unidades;5;5;3
1200;PLOTXX-XX-X-XXX 330;SIN DEFINIR;95;Unidades;0;0;3
1201;PLOTXX-XX-X-XXX30TC;SIN DEFINIR;95;Unidades;0;0;3
1202;PLOTXX-XX-X-XXXAM46;SIN DEFINIR;95;Unidades;0;0;3
1203;BANDXX-XX-X-XXXRIDO;GRIDO;95;Unidades;4.0000000000000001E-2;0.13;3
1204;ALFOXX-XX-X-XXXX 70;GRIDO;95;Unidades;0.26700000000000002;0.88;3
1205;CARTXX-XX-X-XXX MTS;SIN DEFINIR;95;Unidades;5;5;3
1206;CARTXX-XX-X-XXX MTS;SIN DEFINIR;95;Unidades;5;5;3
1207;CARTXX-XX-X-XXX MTS;SIN DEFINIR;95;Unidades;5;5;3
1208;CARTXX-XX-X-XXX MTS;SIN DEFINIR;95;Unidades;5;5;3
1209;CARTXX-XX-X-XXX Mts;GRIDO;95;Unidades;0;0;3
1210;CARTXX-XX-X-XXX Mts;GRIDO;95;Unidades;0;0;3
1211;CARTXX-XX-X-XXX Mts;GRIDO;95;Unidades;0;0;3
1212;CARTXX-XX-X-XXXC) A;SIN DEFINIR;95;Unidades;0;0;3
1213;ATRIXX-XX-X-XXXRIDO;GRIDO;95;Unidades;5;5;3
1214;CARTXX-XX-X-XXX0) A;SIN DEFINIR;95;Unidades;5;5;3
1215;CARTXX-XX-X-XXXMts);SIN DEFINIR;95;Unidades;0;0;3
1216;CARTXX-XX-X-XXX.95);SIN DEFINIR;95;Unidades;25;0;3
1217;CARTXX-XX-X-XXX.55);SIN DEFINIR;95;Unidades;8.3332999999999995;0;3
1218;CARTXX-XX-X-XXX FAZ;SIN DEFINIR;95;Unidades;16.666699999999999;0;3
1219;LOGOXX-XX-X-XXXEZER;GRIDO;95;Unidades;0;0;3
1220;ACTUXX-XX-X-XXXTERA;SIN DEFINIR;95;Unidades;5;5;3
1221;IMAGXX-XX-X-XXXKILO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1222;IMAGXX-XX-X-XXXANTE;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1223;IMAGXX-XX-X-XXXRIDO;GRIDO;95;Unidades;0;0.17000000000000001;3
1224;IMAGXX-XX-X-XXXRIDO;GRIDO;95;Unidades;0;0.17000000000000001;3
1225;IMAGXX-XX-X-XXXNDAE;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
